Model Name,Best Param
prithvi_pretrained_crops_conv3d_1.0,prithvi_pretrained_crops_conv3d_lr-0.001_batch_size-32_gradaccum-1_loss-mse_n_layers-4_crop-48_epochlen-5000_backbone_lr_scale-1.0.pth
prithvi_pretrained_crops_cathls_conv3d_1.0,prithvi_pretrained_crops_cathls_conv3d_lr-0.0005_batch_size-16_gradaccum-1_loss-mse_n_layers-4_crop-48_epochlen-5000_hlsch-64_hlsly-4_progfusion-False_backbone_lr_scale-1.0.pth
shallow_transformer_pixels_1.0,shallow_transformer_pixels_lr-5e-05_batch_size-512_loss-mse.pth
prithvi_pretrained_multiscale_crops_conv3d_1.0,prithvi_pretrained_multiscale_crops_conv3d_lr-0.001_batch_size-16_gradaccum-1_loss-mse_n_layers-4_crop-48_epochlen-5000_feat-5-11-17-23_backbone_lr_scale-1.0.pth
